10/12/20,46,2774,2965,36394,33
10/12/20,47,16558,2648,61195,0
10/12/20,48,522,988,3372,25
10/12/20,49,3361,854,14332,88
10/12/20,50,20,0,0,0
10/12/20,51,58,8,881,0
10/12/20,52,2190,0,0,0
10/12/20,53,1484,2016,7815,56
10/12/20,54,385,153,5339,0
10/12/20,55,54,191,0,15
10/11/20,0,60,258,3486,0
10/11/20,1,2664,816,4998,0
10/11/20,2,1569,613,8384,10
10/11/20,3,0,0,0,0
10/11/20,4,5759,597,9565,24
10/11/20,5,16564,3803,164756,0
10/11/20,6,1998,1023,10063,24
10/11/20,7,4530,0,0,0
10/11/20,8,637,66,7002,0
10/11/20,9,654,132,2793,0
10/11/20,10,15552,5570,26799,249
10/11/20,11,7416,1140,17340,24
10/11/20,12,60,22,133,0
10/11/20,13,168,71,0,18
10/11/20,14,1460,1075,4307,0
10/11/20,15,507,613,2367,18
10/11/20,16,9230,2727,61320,0
10/11/20,17,3789,1570,9973,104
10/11/20,18,763,0,0,0
10/11/20,19,1252,847,0,0
10/11/20,20,5655,1181,37600,0
10/11/20,21,9604,563,15227,10
10/11/20,22,3999,562,11480,52
10/11/20,23,143,27,0,1
10/11/20,24,7219,0,0,0
10/11/20,25,2194,1440,16181,52
10/11/20,26,2422,0,0,0
10/11/20,27,2,0,0,0
10/11/20,28,3101,294,0,0
10/11/20,29,210,585,1024,7
10/11/20,30,3770,1719,35716,0
10/11/20,31,234,637,1213,14
10/11/20,32,519,743,3746,27
10/11/20,33,455,0,0,0
10/11/20,34,16174,751,0,26
10/11/20,35,907,481,9118,26
10/11/20,36,1661,380,2981,0
10/11/20,37,25574,1143,117111,0
10/11/20,38,4999,1291,38173,44
10/11/20,39,1098,766,0,20
10/11/20,40,599,327,4308,0
10/11/20,41,8350,1166,14205,0
10/11/20,42,730,307,0,0
10/11/20,43,1134,170,3829,16
10/11/20,44,3552,785,13562,17
10/11/20,45,286,617,1009,37
10/11/20,46,2767,2068,29061,35
10/11/20,47,16557,2418,54502,0
10/11/20,48,517,1200,4477,31
10/11/20,49,3358,811,17918,26
10/11/20,50,20,1,186,0
10/11/20,51,58,11,1636,0
10/11/20,52,2190,475,23017,24
10/11/20,53,1475,2713,7571,79
10/11/20,54,382,215,5721,0
10/11/20,55,54,156,0,0
10/10/20,0,60,252,5931,0
10/10/20,1,2664,1061,6867,190
10/10/20,2,1552,2075,24422,95
10/10/20,3,0,0,0,0
10/10/20,4,5759,894,11731,30
10/10/20,5,16500,4170,137778,0
10/10/20,6,1998,834,10031,21
10/10/20,7,4530,0,0,0
10/10/20,8,636,75,6799,0
10/10/20,9,653,171,3107,0
10/10/20,10,15372,0,0,0
10/10/20,11,7393,1237,18693,101
10/10/20,12,59,67,254,0
10/10/20,13,166,165,0,11
10/10/20,14,1455,1084,4193,0
10/10/20,15,506,662,3653,16
10/10/20,16,9221,2905,63351,0
10/10/20,17,3782,1918,9285,108
10/10/20,18,763,0,0,0
10/10/20,19,1249,989,10104,61
10/10/20,20,5635,0,0,0
10/10/20,21,9587,639,14573,15
10/10/20,22,3995,636,11799,50
10/10/20,23,143,30,0,2
10/10/20,24,7219,1648,43645,0
10/10/20,25,2184,1516,16045,51
10/10/20,26,2422,5066,42982,0
10/10/20,27,2,2,0,0
10/10/20,28,3096,957,0,0
10/10/20,29,209,718,1185,17
10/10/20,30,3765,2321,37209,0
10/10/20,31,234,588,1402,25
10/10/20,32,519,1085,8880,18
10/10/20,33,455,214,4609,3
10/10/20,34,16171,864,34169,47
10/10/20,35,902,485,5623,26
10/10/20,36,1659,806,3903,0
10/10/20,37,25569,1447,133132,0
10/10/20,38,4997,1356,44539,54
10/10/20,39,1095,1533,15635,94
10/10/20,40,599,409,5518,0
10/10/20,41,8344,1742,19675,0
10/10/20,42,728,472,0,0
10/10/20,43,1132,286,5504,32
10/10/20,44,3551,945,16798,42
10/10/20,45,286,732,1600,47
10/10/20,46,2758,1646,22814,47
10/10/20,47,16526,4230,80371,0
10/10/20,48,510,1354,10492,55
10/10/20,49,3354,1256,17689,91
10/10/20,50,20,0,0,0
10/10/20,51,58,11,729,0
10/10/20,52,2190,642,20833,29
10/10/20,53,1468,2971,11644,120
10/10/20,54,381,206,10177,0
10/10/20,55,54,120,0,6
10/9/20,0,60,180,1719,0
10/9/20,1,2653,1490,10506,0
10/9/20,2,1503,0,0,0
10/9/20,3,0,0,0,0
10/9/20,4,5746,683,11699,28
10/9/20,5,16428,3806,109068,0
10/9/20,6,1997,863,9322,63
10/9/20,7,4530,290,16991,0
10/9/20,8,634,78,5331,0
10/9/20,9,651,145,2720,0
10/9/20,10,15372,2908,25496,196
10/9/20,11,7348,1625,27883,124
10/9/20,12,58,55,369,0
10/9/20,13,164,101,0,6
10/9/20,14,1437,1042,4722,0
10/9/20,15,503,673,1941,25
10/9/20,16,9191,3117,68781,0
10/9/20,17,3761,1816,10229,111
10/9/20,18,763,1855,8936,64
10/9/20,19,1242,1001,23846,219
10/9/20,20,5635,257,9615,0
10/9/20,21,9577,765,18833,16
10/9/20,22,3990,734,10334,58
10/9/20,23,143,27,8410,1
10/9/20,24,7200,1323,41853,0
10/9/20,25,2174,1390,15593,64
10/9/20,26,2395,2008,10472,0
10/9/20,27,2,0,0,0
10/9/20,28,3080,862,0,0
10/9/20,29,206,722,4359,17
10/9/20,30,3747,2034,40296,0
10/9/20,31,234,656,1133,21
10/9/20,32,514,663,3674,13
10/9/20,33,449,0,0,0
10/9/20,34,16164,865,35456,58
10/9/20,35,899,384,8242,27
10/9/20,36,1657,766,5270,0
10/9/20,37,25561,1592,137708,0
10/9/20,38,4994,1840,46392,101
10/9/20,39,1091,1524,15577,102
10/9/20,40,597,410,5883,14
10/9/20,41,8308,1380,14662,0
10/9/20,42,720,598,0,0
10/9/20,43,1130,249,3498,13
10/9/20,44,3530,921,21008,44
10/9/20,45,277,804,2088,65
10/9/20,46,2732,1556,25363,39
10/9/20,47,16432,4036,38888,0
10/9/20,48,505,1343,7683,53
10/9/20,49,3344,1114,28747,88
10/9/20,50,20,2,68,0
10/9/20,51,58,8,1029,0
10/9/20,52,2183,710,28284,30
10/9/20,53,1451,3164,11834,138
10/9/20,54,376,382,7581,0
10/9/20,55,54,243,1326,4
10/8/20,0,60,135,962,0
